CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - ACC03 - ACC - ACC03	CHG.E58	CHG.E58 - ACC03 - ACC - ACC03	 ACC03 - ACC - ACC03	ACCESO A LA PRESA DE LOS MELONARES POR MD	VISUAL	01_DIARIO	PP	CAMINO	OK
CHG.E58 - ACC03 - ACC - ACC03	CHG.E58	CHG.E58 - ACC03 - ACC - ACC03	 ACC03 - ACC - ACC03	ACCESO A LA PRESA DE LOS MELONARES POR MD	HERBICIDA	06_SEMESTRAL	PP	CAMINO	OK
CHG.E58 - ACC03 - ACC - ACC03	CHG.E58	CHG.E58 - ACC03 - ACC - ACC03	 ACC03 - ACC - ACC03	ACCESO A LA PRESA DE LOS MELONARES POR MD	DESBROCE CUNETAS	07_ANUAL	PP	CAMINO	OK
CHG.E58 - ACC03 - ACC - SEG	CHG.E58	CHG.E58 - ACC03 - ACC - SEG	 ACC03 - ACC - SEG	EQUIPAMIENTO CCTV E INTRUSISMO	VISUAL	01_DIARIO	PP	CÁMARA	OK
CHG.E58 - ACC04 - TAB00 - ILU	CHG.E58	CHG.E58 - ACC04 - TAB00 - ILU	 ACC04 - TAB00 - ILU	ILUMINACIÓN ACCESO POZO DE BOMBEO	VISUAL	05_TRIMESTRAL	PP	ILU	OK
CHG.E58 - ACC04 - TAB00 - ACC03	CHG.E58	CHG.E58 - ACC04 - TAB00 - ACC03	 ACC04 - TAB00 - ACC03	CAMINO DE ACCESO POZO DE BOMBEO DE LA PRESA DE LOS MELONARES	VISUAL	01_DIARIO	PP	CAMINO	OK
CHG.E58 - ACC04 - TAB00 - ACC03	CHG.E58	CHG.E58 - ACC04 - TAB00 - ACC03	 ACC04 - TAB00 - ACC03	CAMINO DE ACCESO POZO DE BOMBEO DE LA PRESA DE LOS MELONARES	HERBICIDA	06_SEMESTRAL	PP	CAMINO	OK
CHG.E58 - ACC04 - TAB00 - ACC03	CHG.E58	CHG.E58 - ACC04 - TAB00 - ACC03	 ACC04 - TAB00 - ACC03	CAMINO DE ACCESO POZO DE BOMBEO DE LA PRESA DE LOS MELONARES	DESBROCE CUNETAS	07_ANUAL	PP	CAMINO	OK
CHG.E58 - ADM - ØØØ - CMZ	CHG.E58	CHG.E58 - ADM - ØØØ - CMZ	 ADM - ØØØ - CMZ	EQUIPAMIENTO DE CLIMATIZACIÓN	REVISIÓN	07_ANUAL	PP	CLM	OK
CHG.E58 - ADM - EXT - EXT21	CHG.E58	CHG.E58 - ADM - EXT - EXT21	 ADM - EXT - EXT21	 EXTINTOR DE 3 KG POLVO ABC CASA ADMINISTRACIÓN	REVISIÓN	07_ANUAL	EE	EXTINTOR	OK
